id,title,company_name,venue,date,exp_year,level,salary,edu,src_pic
312,"IT Comtor (JPese)","Công ty Cổ phần Giải pháp NETKO","Hà Nội",03-01-2024,"3 năm","Nhân Viên","40 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______bd616b0993cb4acb32b0cee2383e03eb.png
313,"Nhân Viên Lập Trình & Vận Hành CNC Ở Quận 12 Lương 8 - 15TR (Kinh Nghiệm 1 Năm)","CÔNG TY TNHH CƠ KHÍ QUANG TRUNG","Quận 12, Hồ Chí Minh",01-01-2024,"1 - 2 năm","Nhân Viên","8 - 15 triệu","Đang cập nhật",/images/no_company.png
314,"Ai Cần Sơn Sữa Nhà Đón Tết Liên Hệ E","Luc Huu","Điện Bàn, Quảng Nam",26-12-2023,"Đang cập nhật","Nhân Viên","7 - 10 triệu/ngày","Đang cập nhật",/images/no_company.png
315,"Data Engineer - Hanoi - TA083","Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank)","Hà Nội",07-12-2023,"3 - 5 Năm","Nhân Viên","Cập nhật","Cao Đẳng",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______99dd58e487c0e2a00867d24551a9b802.jpg
316,"System Engineer - Team Lead","Công ty cổ phần Hạ tầng Viễn thông CMC Telecom","Hà Nội",14-12-2023,"3 năm","Trưởng Nhóm","35 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______f30c52888e6b00e8139a238a924951d8.jpg
317,"Project Manager (PM)","Công ty Cổ phần Tập đoàn Omi (OmiGroup)","Hà Nội",31-12-2023,"3 năm","Quản Lý / Giám Sát","5 triệu","Đang cập nhật",/images/no_company.png
318,"Manual Test ( Mobile App - Có Định Hướng Auto )","CÔNG TY CỔ PHẦN IKAME VIỆT NAM","Hà Nội",31-12-2023,"2 năm","Nhân Viên","20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______cb7e064fd85ee5f2830c77ec833e5a0d.jpg
319,"Product Manager (Mobile App)","CÔNG TY CỔ PHẦN IKAME VIỆT NAM","Hà Nội",31-12-2023,"2 năm","Nhân Viên","2000 usd","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______cb7e064fd85ee5f2830c77ec833e5a0d.jpg
320,"IT System Manager (Trưởng Nhóm Quản Trị Và Tối Ưu)","Công ty cổ phần Hạ tầng Viễn thông CMC Telecom","Hà Nội",31-12-2023,"Trên 5 năm","Trưởng/Phó Phòng","Cập nhật","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______f30c52888e6b00e8139a238a924951d8.jpg
321,"React Native Mobile App Developer (iOS/Android)","Công ty cổ phần Exam24h","Cầu Giấy, Hà Nội",06-01-2024,"Đang cập nhật","Nhân Viên","500 - 1200 usd","Đang cập nhật",/images/no_company.png
322,"Project Manager (PM)","Công ty Cổ phần Tập đoàn Omi (OmiGroup)","Hà Nội",31-12-2023,"3 năm","Quản Lý / Giám Sát","5 triệu","Đang cập nhật",/images/no_company.png
323,"Manual Test ( Mobile App - Có Định Hướng Auto )","CÔNG TY CỔ PHẦN IKAME VIỆT NAM","Hà Nội",31-12-2023,"2 năm","Nhân Viên","20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______cb7e064fd85ee5f2830c77ec833e5a0d.jpg
324,"Product Manager (Mobile App)","CÔNG TY CỔ PHẦN IKAME VIỆT NAM","Hà Nội",31-12-2023,"2 năm","Nhân Viên","2000 usd","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______cb7e064fd85ee5f2830c77ec833e5a0d.jpg
325,"IT System Manager (Trưởng Nhóm Quản Trị Và Tối Ưu)","Công ty cổ phần Hạ tầng Viễn thông CMC Telecom","Hà Nội",31-12-2023,"Trên 5 năm","Trưởng/Phó Phòng","Cập nhật","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______f30c52888e6b00e8139a238a924951d8.jpg
326,"React Native Mobile App Developer (iOS/Android)","Công ty cổ phần Exam24h","Cầu Giấy, Hà Nội",06-01-2024,"Đang cập nhật","Nhân Viên","500 - 1200 usd","Đang cập nhật",/images/no_company.png
327,"Fresher Ux / Ui Design","Công Ty Cổ Phần Công Nghệ Hub",TP.HCM,31/12/2023,"Yêu cầu kinh nghiệm","2 tháng","7 - 9 triệu","Đại học",/img/vieclam24h_logo_customer.jpg
328,"Nhân Viên SEO","Công Ty TNHH Bệnh Viện Chuyên Khoa Thẩm Mỹ Việt Mỹ",TP.HCM,30/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","10 - 12 triệu","Cao đẳng",https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2021/12/22/images/164015967485.jpeg
329,"IT Support","Công Ty TNHH Chế Biến Gia Vị Nedspice Việt Nam","Bình Dương",31/12/2023,"Yêu cầu kinh nghiệm","2 tháng","14 - 16 triệu","Đại học",https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/61145037bc25986f63cead18a19ce2b6_5d1d6c82526ed_1562209410.png
330,"Nhân Viên Quan Hệ Khách Hàng","Công Ty TNHH Đầu Tư Công Nghệ St",TP.HCM,31/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 12 triệu","Cao đẳng",/img/vieclam24h_logo_customer.jpg
331,"Data/BI Engineer",ELCA,"Bình Thạnh, Hồ Chí Minh",29-12-2023,"Đang cập nhật","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
332,"Senior AI Engineer (B2B Product)","Công Ty Cổ Phần VNG","Hồ Chí Minh",25-12-2023,"4 - 7 Năm","Nhân Viên","Cập nhật","Đại Học",/images/no_company.png
333,"SAP ABAP Developer","CÔNG TY TNHH BOSCH GLOBAL SOFTWARE TECHNOLOGIES","Tân Bình, Hồ Chí Minh",19-12-2023,"Không yêu cầu","Nhân Viên","Cập nhật","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______c389113e7bdf2644a9bc7f0a9aec39fe.jpg
334,"Kỹ sư Lập trình","CÔNG TY TNHH CÔNG NGHỆ VIỆT","Hà Nội",23-01-2024,"Trên 2 Năm","Nhân Viên","Cập nhật","Đại Học",/images/no_company.png
335,"Tuyển dụng nhanh fullstack developer (thu nhập 35 - 50 triệu)","Công Toàn","Quận Thanh Xuân, Hà Nội",16-01-2024,"> 3 năm kinh nghiệm","Nhân Viên","35 - 50 triệu","Đang cập nhật",/images/no_company.png
336,"Nhân Viên Kinh Doanh","Công Ty Cổ Phần Thương Mại Hà Phan","Hà Nội ,",31/01/2024,"Yêu cầu kinh nghiệm","2 tháng","9 - 15 triệu","Trung cấp",https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2015/03/02/1425282755_logo.png
337,"Php developer [Tân Bình]","Hang Le","Quận Tân Bình, Hồ Chí Minh",08-01-2024,"Đang cập nhật","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
338,"[Hà Nội] Tuyển lập trình viên visual (mức lương 25 - 30 triệu)","Hoa Phạm","Hà Nội",22-01-2024,"Đang cập nhật","Nhân Viên","25 - 30 triệu","Đang cập nhật",/images/no_company.png
339,"Php developer 7 - 8 triệu","Nguyễn Nam","Quận Thanh Xuân, Hà Nội",01-01-2024,"> 1 năm kinh nghiệm","Nhân Viên","7 - 8 triệu","Đang cập nhật",/images/no_company.png
340,"Php developer (2 năm kinh nghiệm) [Hồ Chí Minh]","An Nguyễn","Quận 2, Hồ Chí Minh",29-12-2023,"2 năm kinh nghiệm","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
341,"[Tuyển dụng] web developers Hồ Chí Minh","Lê Thiện","Quận Tân Bình, Hồ Chí Minh",20-01-2024,"1 năm kinh nghiệm","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
